Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
"3-D EXHIBITS, INC.",2315,IL,CRCC ,2020-05-31,NA,NA,PRIVATE
30 MAJOR LEAGUE CLUBS,2447,NY,MLBPA ,2021-12-01,NA,NA,PRIVATE
3535 LV CORP DBA LINQ HOTEL,2574,NV,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 357,2019-03-31,NA,48,PRIVATE
9W HALO OPCO L.P. DBA ANGELICA,1743,IL,TEAMSTERS (IBT) LOCAL UNION 14,2022-08-22,NA,NA,PRIVATE
A & P TEA CO. INC.,611,NY NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A,2008-11-08,445110,8000,PRIVATE
A & P TEA CO. INC.,655,MI,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876,2007-06-01,445110,8000,PRIVATE
A & P TEA CO. INC.,689,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 342 050,2003-10-30,445110,1600,PRIVATE
A. O. SMITH WATER PRODUCTS CO.,1803,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2010-02-07,316999,1000,PRIVATE
A.S. AMERICA INC,2410,OH,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 1538",2020-01-31,NA,NA,PRIVATE
AALBERTS IPS-ELKHART PRODUCTS CORPORATION,1157,IN,MACHINISTS AFL-CIO (IAM) LODGE 2018,2022-08-13,332996,120,PRIVATE
ABBOTT HOUSE,2551,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 888,2019-05-31,623990,130,PRIVATE
ABBOTT NORTHWESTERN HOSPITAL,2032,MN,SEIU -,2013-12-31,62211,1000,PRIVATE
ABC INC.,2172,NY,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804,2016-12-11,513120,NA,PRIVATE
ABC INC. (DISNEY- WAS CAPITAL CITIES),443,"NATIONAL",CWA/NABET  ,2003-05-12,515120,1800,PRIVATE
"ABC, INC. (WPVI-TV)",2286,PA,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804,2021-06-05,NA,NA,PRIVATE
ABLE BUILDING MAINTENANCE,2040,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2012-01-31,NA,NA,PRIVATE
"ABLE BUILDING MAINTENANCE, OAKLAND COLISEUM",2039,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2011-10-31,NA,NA,PRIVATE
"ABT, INC",1832,NC,BOILERMAKERS AFL-CIO (BBF) LODGE 154,2009-11-30,238390,1000,PRIVATE
AC FIRST LLC,2060,-,- -,NA,NA,NA,PRIVATE
ACE GALVANIZING INC.,1804,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2009-12-01,316999,1000,PRIVATE
ACME MARKETS INC.,565,NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1360,2009-04-25,445110,3000,PRIVATE
ACME MARKETS INC.,639,DE NJ PA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 56,2004-05-08,445110,1300,PRIVATE
ACME MARKETS INC.,748,NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1245,2005-11-11,445110,1500,PRIVATE
ACME MARKETS INC.,2222,PA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1776,2008-02-02,NA,NA,PRIVATE
ACME MARKETS INC. (DELAWARE VALLEY) (MOA),560,DE,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27,2008-07-19,445110,1900,PRIVATE
ACME MARKETS INC. EASTERN SHORE (MOA),648,DE MD VA WV,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27,2002-09-28,445110,1025,PRIVATE
"ACME MARKETS, INC.",2221,PA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1776,2012-02-02,NA,NA,PRIVATE
ACME STEEL CO. & ACME PACKAGING CORP.,192,IL RIVERDALE,USW ?-,2005-12-31,331111,1150,PRIVATE
ACROWOOD CORP.,1805,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2011-03-31,316999,1000,PRIVATE
"ACTION FACILITIES MANAGEMENT, INC.",2601,DC,SERVICE EMPLOYEES (SEIU) LOCAL UNION 32 BJ,2022-08-31,NA,NA,PRIVATE
ADAMS SUPER FOOD STORES,2247,NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A,2003-04-19,NA,NA,PRIVATE
ADDISON-WESLEY LONGMAN PUBLISHERS,1917,NY,UAW 2110,2010-12-31,813319,2771,PRIVATE
"ADVANCED GLASSFIBER YARNS, LLC",191,SC AIKEN,TEAMSTERS (IBT) LOCAL UNION 86,2006-05-01,327213,1000,PRIVATE
AEROSPACE CORP.,361,CA,APSA (I) ?-,2008-08-01,54171,1600,PRIVATE
AEROSPACE CORP.,362,CA EL SEGUNDO,APSA (I) -,2005-08-01,54171,1600,PRIVATE
AEROSPACE CORP.,363,CA EL SEGUNDO,APSA (I) -,2009-08-01,54171,1600,PRIVATE
AFSCME NEW JERSEY ORGANIZING COMMITTEE/COUNCIL 73,2339,NJ,STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 73 CENTRAL NEW JERSEY DISTRICT,2024-04-01,NA,NA,PRIVATE
AGC OF MICHIGAN,2510,MI,MICHIGAN REGIONAL COUNCIL OF CARPENTERS  ,2023-06-01,NA,NA,PRIVATE
AGC OF MINNESOTA LAKES AND PLAINS REGIONAL COUNCIL OF CARPENTERS AND JOINERS,1506,MN,UBC ,2008-04-30,NA,NA,PRIVATE
AGC OF NORTHWEST OHIO AND TOLEDO AREA CARPENTER EMPLOYERS ASSOCIATION,1424,OH,"UBC 248, 372,1138,15812239",2007-06-30,NA,NA,PRIVATE
AGC OF ST. LOUIS AND THE ERECTORS AND RIGGERS ASSOCIATION,1381,MO ST. LOUIS,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396,2007-08-01,NA,NA,PRIVATE
AGC OH (LABOR RELATIONS DIVISION),1616,OH,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18",2007-04-30,NA,NA,PRIVATE
"AGC, AK",1357,"AK, ANCHORAGE",CARPENTERS IND (CJA) LOCAL UNION 12/CARPENTERS IND (CJA) LOCAL UNION 247,2008-06-30,23621,1000,PRIVATE
"AGC, AK",1358,AK,CARPENTERS IND (CJA) LOCAL UNION 1243/CARPENTERS IND (CJA) LOCAL UNION 1281/CARPENTERS IND (CJA) LOCAL UNION 2247/CARPENTERS IND (CJA) LOCAL UNION 2520,2011-06-30,23621,1000,PRIVATE
"AGC, AK",1662,AK,LABORERS  (LIUNA) LOCAL UNION 341/LABORERS  (LIUNA) LOCAL UNION 942,2008-06-30,23621,3000,PRIVATE
"AGC, AK",1663,AK,LABORERS  (LIUNA) LOCAL UNION 942,2012-06-30,23731,3000,PRIVATE
"AGC, AK",1664,AK,LABORERS  (LIUNA) LOCAL UNION 341/LABORERS  (LIUNA) LOCAL UNION 942,2012-06-30,23621,3000,PRIVATE
"AGC, AK",1688,AK,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 302",2006-12-31,23621,4000,PRIVATE
"AGC, AK",1689,AK,IOUE 302,2009-12-31,23731,3000,PRIVATE
"AGC, AK",1774,AK,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867,NA,23731,3000,PRIVATE
"AGC, AK",1775,AK,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867,2013-01-31,23731,3000,PRIVATE
"AGC, AK",1776,AK,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867,2010-01-31,23731,1000,PRIVATE
"AGC, AK",1777,AK,TEAMSTERS (IBT) LOCAL UNION 959,2011-02-28,23731,5875,PRIVATE
"AGC, AZ (HVY-HWY)",901,AZ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428",2008-05-31,23731,1500,PRIVATE
"AGC, AZ (HVY-HWY)",1682,AZ,UBC SWRCC,2005-06-30,23731,1000,PRIVATE
"AGC, AZ (HVY-HWY)",1683,AZ,UBC SWRCC,2008-06-30,23731,1000,PRIVATE
"AGC, CA",1332,CA NORTHERN,- NO. CA DC,2006-06-30,23621,21000,PRIVATE
"AGC, CA",1333,CA NORTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA,2006-06-30,23621,21000,PRIVATE
"AGC, CA",1655,CA NORTHERN,UBC 46 NCCCB,2008-06-30,23813,17000,PRIVATE
"AGC, CA - NORTHERN",1237,CA NORTHERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 3",2006-06-15,23731,8500,PRIVATE
"AGC, CA - NORTHERN",1340,CA NORTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA,2006-06-30,23731,1700,PRIVATE
"AGC, CA - NORTHERN",2137,CA,LABORERS  (LIUNA) NATIONAL HEADQUARTERS 0,2019-06-30,813910,NA,PRIVATE
"AGC, CA - NORTHERN 46 COUNTIES",1353,CA NORTHERN,UBC CARPENTERS' 46,2008-06-30,23731,5000,PRIVATE
"AGC, CA - NORTHERN 46 COUNTIES",1354,CA NORTHERN,UBC CARPENTERS' 46,2008-06-30,23731,5000,PRIVATE
"AGC, CA - SAN DIEGO COUNTY",1171,CA SAN DIEGO,LABORERS  (LIUNA) LOCAL UNION 89,2006-06-30,23621,3000,PRIVATE
"AGC, CA - SAN DIEGO COUNTY",1172,CA SAN DIEGO,LABORERS  (LIUNA) LOCAL UNION 89,2006-06-30,23621,3000,PRIVATE
"AGC, CA (CEMENT MASON'S AGREEMENT)",1334,CA NO CENTRAL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA,2009-06-15,23621,1600,PRIVATE
"AGC, CA (CEMENT MASON'S AGREEMENT)",1335,CA NO CENTRAL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA,2005-06-30,23621,1600,PRIVATE
"AGC, CA (HVY-HWY & BLDG)",1235,CA NORTHERN,"IBT 94, 137, 150, ET A",2006-06-15,23731,5000,PRIVATE
"AGC, CA (HVY-HWY & BLDG)",1236,CA NORTHERN,"IBT 94,137,150,ET A",2006-06-15,23731,5000,PRIVATE
"AGC, CA (PILEDRIVERS)",1700,CA NORTHERN,UBC 34,NA,23731,1200,PRIVATE
"AGC, CA (PILEDRIVERS)",1701,CA NORTHERN,UBC 34,2015-06-30,23731,1200,PRIVATE
"AGC, CA (PILEDRIVERS)",1702,CA NORTHERN,UBC 34,2008-06-30,23731,1200,PRIVATE
"AGC, CA (PILEDRIVERS)",1703,CA NORTHERN,UBC 34,2015-06-30,23731,1200,PRIVATE
"AGC, CA (PILEDRIVERS)",1704,CA NORTHERN,UBC 34,2008-06-30,23731,1200,PRIVATE
"AGC, CA (PILEDRIVERS)",1705,CA NORTHERN,UBC 34,2012-06-30,23731,1200,PRIVATE
"AGC, CA & BIA, & SCCA",1162,CA SOUTHERN,IBT 87 & JC 42,2006-06-30,23621,2500,PRIVATE
"AGC, CA & BIA, & SCCA",1163,CA SOUTHERN,IBT 87 & JC 42,2006-06-30,23621,2500,PRIVATE
"AGC, CA & BIASC & SCCA",1146,CA SOUTHERN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 500,2006-06-30,23731,5500,PRIVATE
"AGC, CA & BIASC & SCCA",1147,CA SOUTHERN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 500,2006-06-30,23731,5500,PRIVATE
"AGC, CA SAN DIEGO",1152,CA SAN DIEGO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 12",2007-06-30,23621,1700,PRIVATE
"AGC, CA SAN DIEGO",1153,CA SAN DIEGO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 12",2007-06-30,23621,1700,PRIVATE
"AGC, CO",1497,CO,UBC MWRCC,2007-04-30,23622,1200,PRIVATE
