"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"3-D EXHIBITS, INC.",2315,"IL","CRCC ","May 31, 2020",,,"PRIVATE"
"30 MAJOR LEAGUE CLUBS",2447,"NY","MLBPA ","Dec 1, 2021",,,"PRIVATE"
"3535 LV CORP DBA LINQ HOTEL",2574,"NV","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 357","Mar 31, 2019",,"48","PRIVATE"
"9W HALO OPCO L.P. DBA ANGELICA",1743,"IL","TEAMSTERS (IBT) LOCAL UNION 14","Aug 22, 2022",,,"PRIVATE"
"A & P TEA CO. INC.",611,"NY NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A","Nov 8, 2008","445110","8000","PRIVATE"
"A & P TEA CO. INC.",655,"MI","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876","Jun 1, 2007","445110","8000","PRIVATE"
"A & P TEA CO. INC.",689,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 342 050","Oct 30, 2003","445110","1600","PRIVATE"
"A. O. SMITH WATER PRODUCTS CO.",1803,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Feb 7, 2010","316999","1000","PRIVATE"
"A.S. AMERICA INC",2410,"OH","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 1538","Jan 31, 2020",,,"PRIVATE"
"AALBERTS IPS-ELKHART PRODUCTS CORPORATION",1157,"IN","MACHINISTS AFL-CIO (IAM) LODGE 2018","Aug 13, 2022","332996","120","PRIVATE"
"ABBOTT HOUSE",2551,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 888","May 31, 2019","623990","130","PRIVATE"
"ABBOTT NORTHWESTERN HOSPITAL",2032,"MN","SEIU -","Dec 31, 2013","62211","1000","PRIVATE"
"ABC INC.",2172,"NY","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804","Dec 11, 2016","513120",,"PRIVATE"
"ABC INC. (DISNEY- WAS CAPITAL CITIES)",443,"NATIONAL","CWA/NABET  ","May 12, 2003","515120","1800","PRIVATE"
"ABC, INC. (WPVI-TV)",2286,"PA","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804","Jun 5, 2021",,,"PRIVATE"
"ABLE BUILDING MAINTENANCE",2040,"CA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877","Jan 31, 2012",,,"PRIVATE"
"ABLE BUILDING MAINTENANCE, OAKLAND COLISEUM",2039,"CA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877","Oct 31, 2011",,,"PRIVATE"
"ABT, INC",1832,"NC","BOILERMAKERS AFL-CIO (BBF) LODGE 154","Nov 30, 2009","238390","1000","PRIVATE"
"AC FIRST LLC",2060,"-","- -",,,,"PRIVATE"
"ACE GALVANIZING INC.",1804,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Dec 1, 2009","316999","1000","PRIVATE"
"ACME MARKETS INC.",565,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1360","Apr 25, 2009","445110","3000","PRIVATE"
"ACME MARKETS INC.",639,"DE NJ PA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 56","May 8, 2004","445110","1300","PRIVATE"
"ACME MARKETS INC.",748,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1245","Nov 11, 2005","445110","1500","PRIVATE"
"ACME MARKETS INC.",2222,"PA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1776","Feb 2, 2008",,,"PRIVATE"
"ACME MARKETS INC. (DELAWARE VALLEY) (MOA)",560,"DE","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27","Jul 19, 2008","445110","1900","PRIVATE"
"ACME MARKETS INC. EASTERN SHORE (MOA)",648,"DE MD VA WV","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27","Sep 28, 2002","445110","1025","PRIVATE"
"ACME MARKETS, INC.",2221,"PA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1776","Feb 2, 2012",,,"PRIVATE"
"ACME STEEL CO. & ACME PACKAGING CORP.",192,"IL RIVERDALE","USW ?-","Dec 31, 2005","331111","1150","PRIVATE"
"ACROWOOD CORP.",1805,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Mar 31, 2011","316999","1000","PRIVATE"
"ACTION FACILITIES MANAGEMENT, INC.",2601,"DC","SERVICE EMPLOYEES (SEIU) LOCAL UNION 32 BJ","Aug 31, 2022",,,"PRIVATE"
"ADAMS SUPER FOOD STORES",2247,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A","Apr 19, 2003",,,"PRIVATE"
"ADDISON-WESLEY LONGMAN PUBLISHERS",1917,"NY","UAW 2110","Dec 31, 2010","813319","2771","PRIVATE"
"ADVANCED GLASSFIBER YARNS, LLC",191,"SC AIKEN","TEAMSTERS (IBT) LOCAL UNION 86","May 1, 2006","327213","1000","PRIVATE"
"AEROSPACE CORP.",361,"CA","APSA (I) ?-","Aug 1, 2008","54171","1600","PRIVATE"
"AEROSPACE CORP.",362,"CA EL SEGUNDO","APSA (I) -","Aug 1, 2005","54171","1600","PRIVATE"
"AEROSPACE CORP.",363,"CA EL SEGUNDO","APSA (I) -","Aug 1, 2009","54171","1600","PRIVATE"
"AFSCME NEW JERSEY ORGANIZING COMMITTEE/COUNCIL 73",2339,"NJ","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 73 CENTRAL NEW JERSEY DISTRICT","Apr 1, 2024",,,"PRIVATE"
"AGC OF MICHIGAN",2510,"MI","MICHIGAN REGIONAL COUNCIL OF CARPENTERS  ","Jun 1, 2023",,,"PRIVATE"
"AGC OF MINNESOTA LAKES AND PLAINS REGIONAL COUNCIL OF CARPENTERS AND JOINERS",1506,"MN","UBC ","Apr 30, 2008",,,"PRIVATE"
"AGC OF NORTHWEST OHIO AND TOLEDO AREA CARPENTER EMPLOYERS ASSOCIATION",1424,"OH","UBC 248, 372,1138,15812239","Jun 30, 2007",,,"PRIVATE"
"AGC OF ST. LOUIS AND THE ERECTORS AND RIGGERS ASSOCIATION",1381,"MO ST. LOUIS","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396","Aug 1, 2007",,,"PRIVATE"
"AGC OH (LABOR RELATIONS DIVISION)",1616,"OH","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18","Apr 30, 2007",,,"PRIVATE"
"AGC, AK",1357,"AK, ANCHORAGE","CARPENTERS IND (CJA) LOCAL UNION 12/CARPENTERS IND (CJA) LOCAL UNION 247","Jun 30, 2008","23621","1000","PRIVATE"
"AGC, AK",1358,"AK","CARPENTERS IND (CJA) LOCAL UNION 1243/CARPENTERS IND (CJA) LOCAL UNION 1281/CARPENTERS IND (CJA) LOCAL UNION 2247/CARPENTERS IND (CJA) LOCAL UNION 2520","Jun 30, 2011","23621","1000","PRIVATE"
"AGC, AK",1662,"AK","LABORERS  (LIUNA) LOCAL UNION 341/LABORERS  (LIUNA) LOCAL UNION 942","Jun 30, 2008","23621","3000","PRIVATE"
"AGC, AK",1663,"AK","LABORERS  (LIUNA) LOCAL UNION 942","Jun 30, 2012","23731","3000","PRIVATE"
"AGC, AK",1664,"AK","LABORERS  (LIUNA) LOCAL UNION 341/LABORERS  (LIUNA) LOCAL UNION 942","Jun 30, 2012","23621","3000","PRIVATE"
